Line,Point,latitude,longitude,elevation,gravity_val
2,2002,24.42824,102.48018,2067.712,978418.453
2,2003,24.42745,102.48153,2067.1,978418.08
2,2004,24.42756,102.48304,2074.524,978416.543
2,2005,24.42697,102.48446,2081.817,978414.533
2,2006,24.4278,102.48618,2088.625,978413.222
2,2007,24.4267,102.48756,2095.781,978410.926
2,2008,24.42751,102.48936,2108.019,978408.472
2,2009,24.42945,102.49068,2137.625,978402.387
2,2010,24.43117,102.4914,2144.911,978401.289
2,2011,24.43166,102.49398,2125.456,978404.942
2,2012,24.43183,102.49546,2096.462,978411.081
2,2013,24.4299,102.4962,2078.394,978413.978
2,2014,24.42941,102.4978,2062.109,978417.16
2,2015,24.42645,102.49762,2002.729,978429.61
2,2016,24.42381,102.49689,1970.021,978436.011
2,2017,24.42049,102.49738,1945.557,978440.735
2,2018,24.41963,102.49887,1926.843,978443.61
2,2019,24.41928,102.50027,1904.199,978447.653
2,2020,24.41844,102.5017,1884.896,978450.984
2,2021,24.41777,102.50429,1856.415,978454.696
2,2022,24.41722,102.50421,1838.177,978458.663
2,2023,24.41774,102.50654,1764.087,978473.669
2,2024,24.41444,102.50499,1698.948,978486.942
2,2025,24.41162,102.50633,1677.214,978490.792
2,2026,24.41096,102.50751,1667.412,978492.059
2,2027,24.40963,102.50866,1657.04,978492.763
2,2028,24.40918,102.51023,1650.289,978492.494
2,2029,24.40746,102.5109,1651.261,978490.854
1,1001,24.4429,102.52604,1685.843,978487.315
1,1002,24.4419,102.52775,1674.709,978487.961
1,1003,24.4405,102.52868,1674.607,978486.827
1,1004,24.44003,102.53021,1668.105,978486.897
1,1005,24.43918,102.53196,1663.662,978487.033
1,1006,24.43876,102.53343,1661.456,978486.798
1,1007,24.43812,102.53486,1659.767,978486.59
1,1008,24.43749,102.53647,1659.956,978486.064
1,1009,24.43684,102.53801,1661.283,978485.483
1,1010,24.43622,102.53947,1661.163,978485.322
1,1011,24.43559,102.54092,1660.8,978485.371
1,1012,24.43511,102.54246,1660.089,978485.7
1,1013,24.4343,102.54382,1659.449,978485.908
1,1014,24.43376,102.54495,1659.061,978486.28
1,1015,24.43316,102.54652,1658.794,978486.71
1,1016,24.43223,102.54835,1658.169,978487.439
1,1017,24.43126,102.55019,1660.279,978487.52
1,1018,24.4286,102.55568,1655.209,978487.881
1,1019,24.42774,102.55702,1657.338,978488.993
1,1020,24.42644,102.55856,1660.12,978489.244
1,1021,24.4256,102.55944,1656.491,978490.099
1,1022,24.42414,102.56089,1656.271,978490.564
1,1023,24.42339,102.56152,1656.06,978490.869
1,1024,24.42224,102.56291,1656.017,978491.003
1,1025,24.4217,102.56459,1655.693,978491.28
1,1026,24.42112,102.56603,1656.067,978491.219
1,1027,24.42039,102.56759,1657.609,978491.146
1,1028,24.41983,102.56906,1655.385,978491.925
1,1029,24.41922,102.57067,1655.734,978492.129
1,1030,24.41861,102.5722,1655.37,978492.399
1,1031,24.41815,102.57334,1655.631,978492.684
1,1032,24.41748,102.57497,1656.231,978492.866
1,1033,24.43019,102.5534,1657.029,978492.942
1,1034,24.43026,102.55286,1657.811,978492.973
1,1035,24.43094,102.55116,1664.209,978492.423
11,11022,24.39352,102.54524,1636.605,978493.075
11,11021,24.39563,102.54626,1638.427,978492.683
11,11020,24.3972,102.54629,1639.613,978491.894
11,11019,24.3981,102.54774,1645.41,978490.721
11,11018,24.40109,102.54904,1641.576,978490.714
11,11017,24.40353,102.54873,1639.943,978490.189
11,11016,24.4055,102.54971,1640.791,978490.046
11,11015,24.40695,102.55121,1641.972,978490.211
11,11014,24.40661,102.55165,1641.977,978490.413
11,11013,24.408,102.55281,1642.851,978490.553
11,11012,24.4093,102.55383,1643.452,978490.697
11,11011,24.41093,102.55477,1644.368,978490.784
11,11010,24.41165,102.55405,1644.23,978490.526
11,11009,24.41362,102.55524,1646.683,978490.37
11,11008,24.41455,102.55626,1647.445,978490.588
11,11007,24.41607,102.55745,1648.706,978490.791
11,11006,24.41745,102.5589,1651.55,978490.822
11,11005,24.41877,102.56019,1654.236,978490.73
11,11004,24.42066,102.56117,1658.179,978490.316
11,11003,24.42233,102.56235,1660.099,978490.443
11,11002,24.42422,102.56337,1660.827,978490.868
11,11001,24.42622,102.56443,1662.229,978491.215
2,2030,24.40713,102.51157,1651.235,978490.13
2,2031,24.40603,102.51419,1653.947,978486.871
2,2032,24.40603,102.51554,1655.05,978485.682
2,2033,24.40544,102.51668,1648.34,978486.028
2,2034,24.40614,102.52072,1637.109,978487.1
2,2035,24.40527,102.52214,1635.537,978487.033
2,2036,24.40729,102.52281,1635.97,978486.972
2,2037,24.40641,102.52419,1635.729,978486.714
2,2038,24.40566,102.52538,1635.671,978486.601
2,2039,24.40478,102.52678,1635.246,978486.665
2,2040,24.40407,102.52803,1635.399,978486.784
2,2041,24.40315,102.52966,1635.333,978486.977
2,2042,24.4024,102.53107,1634.374,978487.428
2,2043,24.40166,102.53275,1633.626,978487.885
2,2044,24.40094,102.53435,1634.362,978488.357
2,2045,24.40022,102.53602,1633.769,978488.84
2,2046,24.39951,102.53794,1638.915,978488.327
2,2047,24.39837,102.54057,1637.038,978489.788
2,2048,24.39796,102.54161,1639.077,978489.85
2,2049,24.39743,102.54306,1640.06,978490.329
2,2050,24.39694,102.54465,1639.597,978491.242
2,2051,24.39623,102.54669,1639.081,978492.579
2,2052,24.39578,102.54816,1639.028,978493.317
2,2053,24.39524,102.54959,1639.05,978493.955
2,2054,24.39462,102.55147,1638.681,978494.786
2,2055,24.39402,102.55329,1637.808,978495.533
2,2056,24.39347,102.55491,1637.127,978496.335
2,2057,24.3929,102.55665,1636.627,978497.256
2,2058,24.39232,102.55841,1636.478,978498.026
2,2059,24.39179,102.56002,1636.509,978498.315
2,2060,24.39117,102.56185,1637.359,978498.633
2,2061,24.39058,102.56366,1638.499,978499.046
2,2062,24.38971,102.56505,1639.388,978499.102
2,2063,24.38721,102.56536,1641.603,978498.301
2,2064,24.38684,102.56833,1651.845,978497.003
2,2065,24.38646,102.57005,1651.111,978497.527
2,2066,24.38637,102.5724,1656.318,978496.518
2,2067,24.38585,102.57456,1661.257,978495.783
2,2068,24.38569,102.57667,1665.342,978495.784
3,3001,24.4084,102.45444,1797.764,978472.684
3,3002,24.40737,102.45595,1783.683,978474.925
3,3003,24.40638,102.45683,1775.236,978476.729
3,3004,24.40566,102.4582,1780.374,978475.495
3,3005,24.40536,102.45982,1791.32,978473.308
3,3006,24.40657,102.46185,1801.444,978470.731
3,3007,24.40437,102.46291,1813.772,978469.84
3,3008,24.40338,102.46419,1806.07,978471.112
3,3009,24.40273,102.46516,1802.998,978471.78
3,3010,24.40257,102.46599,1802.214,978472.25
3,3011,24.40477,102.46924,1802.262,978473.44
3,3012,24.40286,102.47019,1782.808,978475.157
3,3013,24.40183,102.47136,1779.702,978475.765
3,3014,24.40155,102.47259,1776.987,978475.835
3,3015,24.4013,102.47415,1773.103,978476.067
3,3016,24.40083,102.47583,1777.576,978474.827
3,3017,24.40225,102.47841,1803.775,978470.253
3,3018,24.40122,102.47953,1811.8,978468.424
3,3019,24.39983,102.4804,1822.755,978465.82
3,3020,24.39977,102.48174,1823.599,978465.013
3,3021,24.39878,102.48309,1816.996,978466.473
3,3022,24.39834,102.48465,1809.833,978467.963
3,3023,24.39705,102.48597,1776.881,978469.761
3,30231,24.39426,102.48462,1799.13,978474.751
3,3024,24.39341,102.4858,1769.047,978476.114
3,3025,24.39305,102.4876,1762.612,978477.012
3,3026,24.39294,102.48905,1761.827,978476.543
3,3027,24.39228,102.4903,1755.383,978477.912
3,3028,24.39158,102.49156,1738.436,978480.925
3,3029,24.39128,102.49305,1734.29,978481.113
3,3030,24.39112,102.49453,1727.425,978482.424
3,3031,24.39223,102.49653,1706.07,978486.669
3,3032,24.39102,102.4981,1696.712,978487.723
3,3033,24.39041,102.49929,1688.907,978488.832
3,3034,24.38946,102.50051,1682.458,978488.75
3,3035,24.38848,102.50166,1675.719,978488.24
3,3036,24.3874,102.50294,1670.708,978486.744
3,3037,24.38675,102.50418,1662.547,978486.303
3,3038,24.38752,102.50597,1653.44,978486.793
3,3039,24.38734,102.5077,1643.827,978487.403
3,3040,24.38683,102.50895,1637.342,978487.97
4,4018,24.35616,102.46611,1614.095,978508.302
4,4019,24.3546,102.46699,1614.587,978508.44
4,4020,24.35537,102.4688,1614.817,978508.447
4,4021,24.35645,102.47058,1615.649,978507.239
4,4022,24.35636,102.47326,1616.259,978507.689
4,4023,24.35746,102.47647,1620.523,978506.209
4,4024,24.35533,102.47665,1616.289,978507.61
4,4025,24.35458,102.47792,1617.925,978507.047
4,4026,24.35424,102.47958,1620.064,978506.462
4,4027,24.35217,102.48069,1621.529,978506.432
4,4028,24.35235,102.48195,1620.33,978506.331
4,4029,24.35085,102.48362,1616.871,978506.226
4,4030,24.34954,102.48464,1618.484,978503.768
4,4031,24.34861,102.48613,1618.124,978502.074
4,4032,24.34787,102.48742,1617.423,978500.954
4,4033,24.34714,102.48873,1617.664,978500.098
4,4034,24.34614,102.49051,1618.167,978499.06
4,4035,24.3453,102.49196,1618.743,978498.274
4,4036,24.34437,102.49363,1619.948,978497.502
4,4037,24.34358,102.4949,1619.419,978496.896
4,4038,24.34305,102.49665,1619.686,978496.48
4,4039,24.34142,102.49748,1619.397,978496.356
71,7101,24.41791,102.54176,1644.784,978486.411
71,7102,24.41832,102.54,1644.719,978486.054
71,7103,24.4188,102.53791,1644.642,978485.687
71,7104,24.41936,102.53555,1644.644,978485.481
71,7105,24.41978,102.53357,1644.934,978485.47
71,7106,24.42028,102.53163,1645.07,978485.597
71,7107,24.42077,102.52953,1645.598,978486.067
71,7108,24.42128,102.52732,1646.493,978486.713
71,7109,24.42167,102.52569,1647.42,978487.112
71,7110,24.42205,102.5241,1650.497,978487.517
71,7111,24.42246,102.52197,1657.582,978487.933
71,7112,24.42314,102.52012,1659.938,978489.507
71,7113,24.4237,102.51848,1662.348,978490.593
71,7114,24.42428,102.51662,1665.368,978490.976
4,4017,24.35773,102.46533,1612.84,978508.282
4,4016,24.3608,102.46472,1611.801,978508.03
4,4015,24.36208,102.46347,1610.699,978508.578
4,4014,24.36227,102.46174,1610.443,978509.094
4,4013,24.36359,102.46033,1609.977,978509.069
4,4012,24.36456,102.45874,1610.023,978509.188
4,4011,24.36585,102.45778,1610.608,978509.231
4,4010,24.36578,102.45598,1608.863,978508.927
4,4009,24.3666,102.45385,1608.615,978508.458
4,4007,24.36525,102.45003,1606.346,978509.363
4,4006,24.36391,102.44802,1606.96,978507.867
4,4005,24.36279,102.44605,1607.513,978509.058
4,4004,24.36319,102.44388,1607.028,978508.736
4,4003,24.36384,102.44207,1606.817,978508.096
4,4002,24.36387,102.44008,1606.041,978508.872
4,4001,24.36319,102.43781,1606.554,978509.512
7,7001,24.42297,102.54498,1651.12,978486.547
7,7003,24.42305,102.54133,1650.394,978485.672
7,7004,24.42344,102.53973,1649.979,978485.431
7,7005,24.42425,102.53833,1649.945,978485.433
7,7006,24.42472,102.53679,1650.014,978485.295
7,7008,24.42644,102.53402,1650.357,978485.522
7,7009,24.42734,102.53219,1651.15,978485.949
7,7010,24.42803,102.53064,1652.044,978486.434
7,7012,24.42963,102.5283,1655.272,978487.437
7,7013,24.42985,102.52697,1661.867,978487.219
7,7014,24.42974,102.52507,1673.692,978486.339
7,7015,24.43017,102.52266,1685.373,978486.092
7,7016,24.4307,102.52061,1696.995,978485.446
7,7017,24.43142,102.51867,1707.555,978484.748
87,87001,24.4241,102.54103,1650.752,978485.594
87,87002,24.42547,102.54153,1651.483,978485.803
87,87003,24.42557,102.53897,1650.629,978485.517
87,87004,24.427,102.53962,1652.172,978485.51
87,87005,24.42854,102.54032,1653.442,978485.641
87,87006,24.43,102.54099,1654.554,978485.74
87,87007,24.43142,102.54164,1655.813,978485.763
87,87009,24.43102,102.52905,1656.393,978487.203
87,87010,24.43361,102.53085,1657.031,978486.962
87,87011,24.43228,102.52995,1657.774,978486.856
87,87012,24.43491,102.53153,1659.429,978486.652
87,87013,24.43634,102.53202,1659.925,978486.805
87,87014,24.43764,102.53297,1661.488,978486.56
87,87015,24.435,102.52984,1659.449,978487.277
87,87016,24.43559,102.52831,1661.609,978487.935
87,87017,24.43623,102.52669,1667.997,978488.032
87,87018,24.43689,102.52502,1676.696,978487.878
87,87019,24.43565,102.52374,1682.177,978487.158
13,13001,24.4395,102.56902,1676.861,978491.902
13,13002,24.43759,102.56591,1671.279,978491.261
13,13003,24.43687,102.56473,1669.802,978491.127
13,13004,24.43572,102.56354,1667.655,978491.079
13,13005,24.43449,102.56181,1664.537,978491.203
13,13006,24.43376,102.55962,1663.334,978490.775
13,13007,24.43241,102.55726,1659.713,978490.482
13,13008,24.43084,102.5562,1658.357,978490.2
13,13009,24.43017,102.5534,1657.346,978489.26
13,13010,24.42858,102.55181,1656.246,978488.658
13,13011,24.4273,102.55013,1654.907,978488.072
13,13012,24.42568,102.54869,1652.6,978487.83
13,13013,24.42447,102.54764,1651.617,978487.469
13,13014,24.4231,102.54605,1651.372,978486.818
13,13015,24.42075,102.54595,1648.89,978487.037
13,13016,24.41952,102.54416,1648.189,978486.416
13,13017,24.41804,102.54263,1646.83,978486.12
13,13018,24.41643,102.54091,1645.174,978485.98
13,13019,24.41459,102.53999,1643.673,978486.047
13,13020,24.41317,102.53833,1641.546,978486.134
13,13021,24.4118,102.53635,1640.636,978485.963
13,13022,24.40985,102.53498,1638.161,978486.229
13,13023,24.40885,102.53339,1637.718,978486.174
13,13024,24.40634,102.53103,1636.757,978486.402
13,13025,24.40471,102.5304,1635.966,978486.696
13,13026,24.40323,102.52943,1635.433,978486.906
13,13027,24.40091,102.53443,1633.418,978488.396
13,13028,24.39909,102.53356,1632.435,978488.755
13,13029,24.3972,102.53281,1631.745,978489.167
13,13030,24.3951,102.53219,1630.935,978489.517
13,13031,24.39296,102.53186,1630.228,978489.894
13,13032,24.39115,102.53155,1629.647,978490.171
13,13033,24.38931,102.53127,1629.026,978490.508
13,13034,24.38686,102.53088,1628.107,978490.885
13,13035,24.38541,102.53047,1627.536,978491.143
13,13036,24.38396,102.53002,1627.074,978491.335
13,13037,24.38186,102.52936,1626.266,978491.649
13,13038,24.38013,102.52882,1625.708,978491.935
13,13039,24.37792,102.52813,1625.854,978492.173
13,13040,24.3759,102.52662,1626.096,978492.159
13,13041,24.37312,102.52542,1623.329,978493.072
13,13042,24.37126,102.52437,1622.3,978493.454
13,13043,24.36894,102.52296,1623.806,978493.373
13,13044,24.36665,102.52158,1622.526,978493.965
13,13045,24.36436,102.52025,1622.682,978494.21
13,13046,24.36238,102.51642,1622.257,978493.962
13,13047,24.36153,102.51545,1622.408,978493.833
13,13048,24.36035,102.51411,1622.301,978493.758
13,13049,24.35883,102.51241,1620.327,978494.097
13,13050,24.3573,102.51066,1620.335,978494.166
13,13051,24.3559,102.50907,1620.121,978494.331
13,13052,24.35464,102.50765,1619.762,978494.553
13,13053,24.3531,102.50596,1620.614,978494.65
13,13054,24.35174,102.50534,1621.182,978494.755
13,13055,24.35005,102.50455,1620.966,978495.048
13,13056,24.34831,102.50288,1620.728,978495.145
13,13057,24.34663,102.50126,1620.505,978495.419
13,13058,24.34528,102.49842,1620.146,978495.866
13,13059,24.34403,102.4974,1619.696,978496.263
13,13060,24.34304,102.49665,1619.695,978496.491
4,4060,24.32186,102.53244,1656.486,978497.57
4,4059,24.32173,102.5308,1649.462,978499.047
4,4058,24.32255,102.52924,1641.939,978500.184
4,4057,24.32355,102.52746,1635.727,978501.488
4,4056,24.32481,102.52558,1631.869,978501.258
4,4055,24.32581,102.52393,1631.48,978500.685
4,4054,24.32682,102.52215,1630.773,978499.983
4,4053,24.32782,102.52056,1635.925,978497.751
4,4052,24.32885,102.51853,1635.692,978496.354
4,4051,24.32982,102.51666,1626.561,978497.441
4,4050,24.3308,102.51489,1628.022,978496.41
